day,desktop,mobile,all
10/09/16,66.46062493916091,33.53937506083909,20546
10/16/16,63.66006256517206,36.339937434827945,17262
10/23/16,66.12572447614802,33.874275523851985,22430
10/30/16,66.3437139561707,33.6562860438293,21675
11/06/16,66.7063510233985,33.29364897660149,21839
11/13/16,64.61909409265745,35.38090590734256,17419
11/20/16,67.01125936610971,32.98874063389029,24957
11/27/16,60.128862408202856,39.871137591797144,14434
12/04/16,65.41163368457123,34.588366315428765,23346
12/11/16,67.70939682280394,32.29060317719606,24487
12/18/16,66.28802382471815,33.711976175281855,23505
12/25/16,61.58544425871158,38.41455574128842,15554
01/01/17,56.61143704467797,43.38856295532203,15511
01/08/17,61.54339735637593,38.45660264362408,23377
01/15/17,64.47610945696867,35.523890543031335,28212
01/22/17,62.430962698615,37.569037301384995,23538
01/29/17,65.24366402445526,34.75633597554474,28133
02/05/17,64.36487638533674,35.63512361466326,25806
02/12/17,66.3390847711928,33.660915228807205,26660
02/19/17,65.29637871737812,34.70362128262189,24715
