day,desktop,mobile,all
05/22/16,61.51032140057487,38.48967859942513,3827
05/29/16,72.76669789854103,27.23330210145897,37355
06/05/16,67.1385212458951,32.86147875410489,40196
06/12/16,67.120352645721,32.87964735427899,56941
06/19/16,71.81164807930607,28.188351920693925,40350
06/26/16,73.04691942050081,26.953080579499193,43969
07/03/16,78.60473493566012,21.395265064339892,49969
07/10/16,73.31939180063608,26.68060819936392,45906
07/17/16,74.20576374545097,25.79423625454903,61002
07/24/16,72.71530237953414,27.284697620465874,63794
07/31/16,72.84227511093184,27.157724889068174,61975
08/07/16,71.38215080667436,28.617849193325647,61549
08/14/16,72.14680989583333,27.853190104166664,61440
08/21/16,72.63448607108549,27.365513928914503,58296
08/28/16,72.99022989427752,27.00977010572249,62333
09/04/16,72.37331053306588,27.626689466934128,60818
09/11/16,66.40761791881044,33.59238208118956,74246
09/18/16,72.5553235908142,27.444676409185803,71850
